title,original_title,score,genre,date,synopsis,durée,pays_origine
Rurouni Kenshin: Trust and Betrayal,Original title: Rurouni Kenshin: Meiji Kenkaku Romantan: Tsuioku Hen,8.6,"Animation,Action,Adventure,Back to top",1999,"In the era of Japan's Meiji Restoration, an assassin regains his humanity.",118,Japan
Silicon Valley,,8.5,"Comedy,Back to top",2014–2019,"Follows the struggle of Richard Hendricks, a Silicon Valley engineer trying to build his own company called Pied Piper.",28,United States
From the Earth to the Moon,,8.6,"Action,Drama,History,Back to top",1998,Dramatized portrayal of the Apollo manned space program.,60,United States
Twin Peaks,,8.5,"Crime,Drama,Horror,Back to top",2017,Picks up 25 years after the inhabitants of a quaint northwestern town are stunned when their homecoming queen is murdered.,60,United States
Spartacus: Gods of the Arena,,8.5,"Action,Adventure,Biography,Back to top",2011,"In the time before the arrival of Spartacus, the House of Batiatus faces many challenges from competitors, and within its own household.",331,United States
Detectorists,,8.6,"Comedy,Back to top",2014–2022,"The lives of two eccentric metal detectorists, who spend their days plodding along ploughed tracks and open fields, hoping to disturb the tedium by unearthing the fortune of a lifetime.",30,United Kingdom
Trailer Park Boys,,8.6,"Comedy,Crime,Back to top",2001–2018,Three petty felons have a documentary made about their life in a trailer park.,30,Canada
Endeavour,,8.6,"Crime,Drama,Mystery,Back to top",2012–2022,"Set from 1965 to 1971, the show follows Endeavour Morse in his early years as a police constable. Working alongside his senior partner DI Fred Thursday, Morse engages in a number of investigations around Oxford.",89,United Kingdom
Neon Genesis Evangelion,Original title: Shin seiki evangerion,8.5,"Animation,Action,Drama,Back to top",1995–1996,A teenage boy finds himself recruited as a member of an elite team of pilots by his father.,24,Japan
Fullmetal Alchemist,Original title: Hagane no renkinjutsushi,8.5,"Animation,Action,Adventure,Back to top",2003–2004,"When a failed alchemical ritual leaves brothers Edward and Alphonse Elric with severely damaged bodies, they begin searching for the one thing that can save them: the fabled philosopher's stone.",24,Japan
Extraordinary Attorney Woo,Original title: I-sang-han byeon-ho-sa U-yeong-u,8.7,"Drama,Back to top",2022,"About an autistic 27-year-old lawyer. Due to her high IQ of 164, impressive memory, and creative thought process, the brilliant Woo Young Woo graduated at the top of her class from a prestigious law school.",75,South Korea
Sons of Anarchy,,8.6,"Crime,Drama,Thriller,Back to top",2008–2014,A biker struggles to balance being a father and being involved in an outlaw motorcycle club.,45,United States
Ezel,,8.7,"Crime,Drama,Thriller,Back to top",2009–2011,"Betrayed by his trusted friends and the woman he loved, Ömer Uçar returns as Ezel to exact his vengeance.",90,Turkey
North & South,,8.6,"Drama,Romance,Back to top",2004,"North and South is a four part adaptation of Elizabeth Gaskell's love story of Margaret Hale, a middle class southerner who is forced to move to the northern town of Milton.",235,United Kingdom
Brass Eye,,8.6,"Comedy,Back to top",1997–2001,"Controversal spoof of current affairs television, and the role of celebrity in the UK.",25,United Kingdom
Mob Psycho 100,,8.6,"Animation,Action,Comedy,Back to top",2016– ,"A psychic middle school boy tries to live a normal life and keep his growing powers under control, even though he constantly gets into trouble.",24,Japan
Skam,,8.6,"Drama,Romance,Back to top",2015–2017,"The story of young teenagers and pupils on Hartvig Nissens upper secondary school in Oslo, and their troubles, scandals and everyday life. Each season is told from a different person's point of view.",30,Norway
Spartacus,Original title: Spartacus: Blood and Sand,8.5,"Action,Adventure,Biography,Back to top",2010–2013,"The life of Spartacus, the gladiator who lead a rebellion against the Romans. From his time as an ally of the Romans, to his betrayal and becoming a gladiator, to the rebellion he leads and its ultimate outcome.",55,United States
Samurai Jack,,8.5,"Animation,Action,Adventure,Back to top",2001–2017,"A samurai, sent through time, fights to return home and save the world.",25,United States
Doctor Who,,8.6,"Adventure,Drama,Sci-Fi,Back to top",2005– ,The further adventures in time and space of the alien adventurer known as the Doctor and their companions from planet Earth.,45,"United Kingdom,United States"
Whose Line Is It Anyway?,,8.5,"Comedy,Game-Show,Back to top",1998–2007,Improvisational comedy competition show in which four members of the regular cast as comedians and often with guest appearances with other comedians and celebrities and members of the audience perform various comic games and sketches.,30,"United States,United Kingdom"
Through the Wormhole,,8.6,"Documentary,Back to top",2010–2017,"Hosted by Morgan Freeman, Through the Wormhole will explore the deepest mysteries of existence - the questions that have puzzled mankind for eternity. What are we made of? What was there before the beginning? Are we really alone? Is there a creator? These questions have been pond...",60,United States
Westworld,,8.5,"Drama,Mystery,Sci-Fi,Back to top",2016–2022,"At the intersection of the near future and the reimagined past, waits a world in which every human appetite can be indulged without consequence.",62,United States
Letterkenny,,8.7,"Comedy,Back to top",2016– ,"Quick-witted, fast-paced snappy comedy about rural folk getting by in a small town.",30,Canada
The Office,,8.5,"Comedy,Drama,Back to top",2001–2003,The story of an office that faces closure when the company decides to downsize its branches. A documentary film crew follow staff and the manager David Brent as they continue their daily lives.,30,United Kingdom
Mr. Robot,,8.6,"Crime,Drama,Thriller,Back to top",2015–2019,"Elliot, a brilliant but highly unstable young cyber-security engineer and vigilante hacker, becomes a key figure in a complex game of global dominance when he and his shadowy allies try to take down the corrupt corporation he works for.",49,United States
I'm Alan Partridge,,8.6,"Comedy,Back to top",1997–2002,"Alan Partridge, a failed television presenter, is now presenting a programme on local radio in Norwich. He desperately tries to revive his broadcasting career.",29,United Kingdom
Shameless,,8.6,"Comedy,Drama,Back to top",2011–2021,"A scrappy, feisty, fiercely loyal Chicago family makes no apologies.",46,United States
Louie,,8.5,"Comedy,Drama,Back to top",2010–2015,"The life of Louie C.K., a divorced comedian living in New York with two kids.",22,United States
The IT Crowd,,8.5,"Comedy,Back to top",2006–2013,"The comedic misadventures of Roy, Moss and their grifting supervisor Jen, a rag-tag team of IT support workers at a large corporation headed by a hotheaded yuppie.",25,United Kingdom
Samurai Champloo,Original title: Samurai chanpurû,8.6,"Animation,Action,Adventure,Back to top",2004–2005,"Fuu, a waitress who works in a teahouse, rescues two master swordsmen, Mugen and Jin, from their execution to help her find the ""samurai who smells of sunflowers.""",24,Japan
Black Sun,Original title: Senke nad Balkanom,8.9,"Crime,Drama,Thriller,Back to top",2017– ,"A historical fiction drama and thriller set in the turbulent period of the late 1920s in the Balkans as a place where high politics, local interests, capital and crime all merge together.",60,Serbia
"Yes, Prime Minister",,8.6,"Comedy,Back to top",1986–1987,James Hacker was propelled along the corridors of power to the very pinnacle of politics - Number 10.,30,United Kingdom
What We Do in the Shadows,,8.6,"Comedy,Fantasy,Horror,Back to top",2019– ,A look into the daily (or rather nightly) lives of four vampires who've lived together on Staten Island for over a century.,30,United States
